Population Size,Life Span,Max Generations,Maze Size
50,10,200,30

Current Generation,Best Rat's Starting Position,Best DNA,Best Fitness Score,Best Reached Goal,Average Fitness Score (No Winners),Average Fitness Score(Winner Inclusive),% Pop Reached Goal
1,15.0,RRRRRRLRRR,0.14285714285714285,False,0.07279390506742776,0.07279390506742776,0.0%
2,15.0,RRLRRRRRRR,0.14285714285714285,False,0.07333644408567011,0.07333644408567011,0.0%
3,15.0,RLRRLRRRRR,0.1111111111111111,False,0.07790956343278328,0.07790956343278328,0.0%
4,15.0,RRRLLRRRRR,0.1111111111111111,False,0.07972245436022529,0.07972245436022529,0.0%
5,15.0,RRRRLRRRRR,0.14285714285714285,False,0.07972800230385374,0.07972800230385374,0.0%
6,15.0,RRRRLRRRRR,0.14285714285714285,False,0.08710313010003415,0.08710313010003415,0.0%
7,15.0,RRRRRRRRLR,0.14285714285714285,False,0.09382882611473267,0.09382882611473267,0.0%
8,15.0,RRRRRRRRLR,0.14285714285714285,False,0.09182498547204426,0.09182498547204426,0.0%
9,15.0,RRRRRRRRRR,0.2,False,0.09975500110484628,0.09975500110484628,0.0%
10,15.0,RRRRRRRRRR,0.2,False,0.10202619396427445,0.10202619396427445,0.0%
11,15.0,RRRRRRRRRR,0.2,False,0.10367264108440576,0.10367264108440576,0.0%
12,15.0,RRRRRRRRRR,0.2,False,0.11327757210110148,0.11327757210110148,0.0%
13,15.0,RRRRRRRRRR,0.2,False,0.11547030747030744,0.11547030747030744,0.0%
14,15.0,RRRRRRRRRR,0.2,False,0.11725874125874126,0.11725874125874126,0.0%
15,15.0,RRRRRRRRRR,0.2,False,0.1158219558219558,0.1158219558219558,0.0%
16,15.0,RRRRRRRRRR,0.2,False,0.11957642357642358,0.11957642357642358,0.0%
17,15.0,RRRRRRRRRR,0.2,False,0.11797180597180593,0.11797180597180593,0.0%
18,15.0,LRRRRRRRRR,0.14285714285714285,False,0.11340570540570534,0.11340570540570534,0.0%
19,15.0,RRRRRRRRLR,0.14285714285714285,False,0.10876590076590073,0.10876590076590073,0.0%
20,15.0,RRRRRRRRRR,0.2,False,0.10627616621424668,0.10627616621424668,0.0%
21,15.0,RRRRRRRRRR,0.2,False,0.1009961129341934,0.1009961129341934,0.0%
22,15.0,RRRRRRRRRR,0.2,False,0.10560435642788583,0.10560435642788583,0.0%
23,15.0,RRRRLRRRRR,0.14285714285714285,False,0.1076834606741727,0.1076834606741727,0.0%
24,15.0,RRRRRRRRRR,0.2,False,0.10327973780605357,0.10327973780605357,0.0%
25,15.0,RRRRRRRRRR,0.2,False,0.09844399838207885,0.09844399838207885,0.0%
26,15.0,RRRRRRRRRR,0.2,False,0.10341036741036737,0.10341036741036737,0.0%
27,15.0,RRRRRRRRRR,0.2,False,0.10010198951375421,0.10010198951375421,0.0%
28,15.0,RRRRRRRRRR,0.2,False,0.10532996415349352,0.10532996415349352,0.0%
29,15.0,RRRRRRRRRR,0.2,False,0.10957655210286787,0.10957655210286787,0.0%
30,15.0,RRRRRRRRRR,0.2,False,0.11360905760905758,0.11360905760905758,0.0%
31,15.0,RRRRRRRRRR,0.2,False,0.11164302364302364,0.11164302364302364,0.0%
32,15.0,RRRRRRRRRR,0.2,False,0.11429903429903433,0.11429903429903433,0.0%
33,15.0,RRRRRRRRRR,0.2,False,0.11031044772221238,0.11031044772221238,0.0%
34,15.0,RRRRRRRRRR,0.2,False,0.11432212232212231,0.11432212232212231,0.0%
35,15.0,RRRRRRRRRR,0.2,False,0.1115806024041318,0.1115806024041318,0.0%
36,15.0,RRRRRRRRRR,0.2,False,0.11106880048056517,0.11106880048056517,0.0%
37,15.0,RRRRRRRRRR,0.2,False,0.12501631701631702,0.12501631701631702,0.0%
38,15.0,RRRRRRRRRR,0.2,False,0.1211191945309592,0.1211191945309592,0.0%
39,15.0,RRRRRRRRRR,0.2,False,0.11787532728709195,0.11787532728709195,0.0%
40,15.0,RRRRRRRRRR,0.2,False,0.12094216894216896,0.12094216894216896,0.0%
41,15.0,RRRRRRRRRR,0.2,False,0.11192363192363194,0.11192363192363194,0.0%
42,15.0,RRRRRRRRRR,0.2,False,0.1174416694416694,0.1174416694416694,0.0%
43,15.0,RRRRRRRRRR,0.2,False,0.12049613131966072,0.12049613131966072,0.0%
44,15.0,RRRRRRRRRR,0.2,False,0.12600111000111003,0.12600111000111003,0.0%
45,15.0,RRRRRRRRRR,0.2,False,0.13115240315240315,0.13115240315240315,0.0%
46,15.0,RRRRRRRRRR,0.2,False,0.13991164391164396,0.13991164391164396,0.0%
47,15.0,RRRRRRRRRR,0.2,False,0.1407161727161727,0.1407161727161727,0.0%
48,15.0,RRRRRRRRRR,0.2,False,0.1457404817404818,0.1457404817404818,0.0%
49,15.0,RRRRRRRRRR,0.2,False,0.13459518259518263,0.13459518259518263,0.0%
50,15.0,RRRRRRRRRR,0.2,False,0.14289799089799096,0.14289799089799096,0.0%
51,15.0,RRRRRRRRRR,0.2,False,0.1434547674547675,0.1434547674547675,0.0%
52,15.0,RRRRRRRRRR,0.2,False,0.14134221334221334,0.14134221334221334,0.0%
53,15.0,RRRRRRRRRR,0.2,False,0.141016317016317,0.141016317016317,0.0%
54,15.0,RRRRRRRRRR,0.2,False,0.1353109113109113,0.1353109113109113,0.0%
55,15.0,RRRRRRRRRR,0.2,False,0.13193473193473193,0.13193473193473193,0.0%
56,15.0,RRRRRRRRRR,0.2,False,0.12704007104007103,0.12704007104007103,0.0%
57,15.0,RRRRRRRRRR,0.2,False,0.12635009435009434,0.12635009435009434,0.0%
58,15.0,RRRRRRRRRR,0.2,False,0.12635897435897434,0.12635897435897434,0.0%
59,15.0,RRRRRRRRRR,0.2,False,0.12245918787095254,0.12245918787095254,0.0%
60,15.0,RRRRRRRRRR,0.2,False,0.12013408813408816,0.12013408813408816,0.0%
61,15.0,RRRRRRRRRR,0.2,False,0.11272816072816072,0.11272816072816072,0.0%
62,15.0,RRRRRRRRRR,0.2,False,0.10884404484404485,0.10884404484404485,0.0%
63,15.0,RRRRRRRRRR,0.2,False,0.11810087951264416,0.11810087951264416,0.0%
64,15.0,RRRRRRRRRR,0.2,False,0.1089506049506049,0.1089506049506049,0.0%
65,15.0,RRRRRRRRRR,0.2,False,0.11927095127095122,0.11927095127095122,0.0%
66,15.0,RRRRRRRRRR,0.2,False,0.11893471234647704,0.11893471234647704,0.0%
67,15.0,RRRRRRRRRR,0.2,False,0.11975224775224776,0.11975224775224776,0.0%
68,15.0,RRRRRRRRRR,0.2,False,0.11967587967587967,0.11967587967587967,0.0%
69,15.0,RRRRRRRRRR,0.2,False,0.11428749028749025,0.11428749028749025,0.0%
70,15.0,RRRRRRRRRR,0.2,False,0.11407969807969806,0.11407969807969806,0.0%
71,15.0,RRRRRRRRRR,0.2,False,0.11209590409590403,0.11209590409590403,0.0%
72,15.0,RRRRRRRRRR,0.2,False,0.1223117797235444,0.1223117797235444,0.0%
73,15.0,RRRRRRRRRR,0.2,False,0.1308202908202908,0.1308202908202908,0.0%
74,15.0,RRRRRRRRRR,0.2,False,0.14652281052281058,0.14652281052281058,0.0%
75,15.0,RRRRRRRRRR,0.2,False,0.14373448773448774,0.14373448773448774,0.0%
76,15.0,RRRRRRRRRR,0.2,False,0.13863558663558664,0.13863558663558664,0.0%
77,15.0,RRRRRRRRRR,0.2,False,0.13784792984792985,0.13784792984792985,0.0%
78,15.0,RRRRRRRRRR,0.2,False,0.1318796758796759,0.1318796758796759,0.0%
79,15.0,RRRRRRRRRR,0.2,False,0.1323121323121323,0.1323121323121323,0.0%
80,15.0,RRRRRRRRRR,0.2,False,0.13277122877122877,0.13277122877122877,0.0%
81,15.0,RRRRRRRRRR,0.2,False,0.12932489732489733,0.12932489732489733,0.0%
82,15.0,RRRRRRRRRR,0.2,False,0.13254301254301257,0.13254301254301257,0.0%
83,15.0,RRRRRRRRRR,0.2,False,0.12784193584193582,0.12784193584193582,0.0%
84,15.0,RRRRRRRRRR,0.2,False,0.13308025308025312,0.13308025308025312,0.0%
85,15.0,RRRRRRRRRR,0.2,False,0.1311168831168831,0.1311168831168831,0.0%
86,15.0,RRRRRRRRRR,0.2,False,0.12843334443334448,0.12843334443334448,0.0%
87,15.0,RRRRRRRRRR,0.2,False,0.13233522033522033,0.13233522033522033,0.0%
88,15.0,RRRRRRRRRR,0.2,False,0.1226204906204906,0.1226204906204906,0.0%
89,15.0,RRRRRRRRRR,0.2,False,0.12439826839826842,0.12439826839826842,0.0%
90,15.0,RRRRRRRRRR,0.2,False,0.12353455694632165,0.12353455694632165,0.0%
91,15.0,RRRRRRRRRR,0.2,False,0.11984136125312593,0.11984136125312593,0.0%
92,15.0,RRRRRRRRRR,0.2,False,0.11980051321227789,0.11980051321227789,0.0%
93,15.0,RRRRRRRRRR,0.2,False,0.12535730935730935,0.12535730935730935,0.0%
94,15.0,RRRRRRRRRR,0.2,False,0.13024841824841826,0.13024841824841826,0.0%
95,15.0,RRRRRRRRRR,0.2,False,0.12883738483738483,0.12883738483738483,0.0%
96,15.0,RRRRRRRRRR,0.2,False,0.12528538128538128,0.12528538128538128,0.0%
97,15.0,RRRRRRRRRR,0.2,False,0.1279479213596861,0.1279479213596861,0.0%
98,15.0,RRRRRRRRRR,0.2,False,0.12500210900210898,0.12500210900210898,0.0%
99,15.0,RRRRRRRRRR,0.2,False,0.12822288822288816,0.12822288822288816,0.0%
100,15.0,RRRRRRRRRR,0.2,False,0.12701343101343102,0.12701343101343102,0.0%
101,15.0,RRRRRRRRRR,0.2,False,0.14021090021090027,0.14021090021090027,0.0%
102,15.0,RRRRRRRRRR,0.2,False,0.13355888555888554,0.13355888555888554,0.0%
103,15.0,RRRRRRRRRR,0.2,False,0.13595204795204796,0.13595204795204796,0.0%
104,15.0,RRRRRRRRRR,0.2,False,0.13412929554106026,0.13412929554106026,0.0%
105,15.0,RRRRRRRRRR,0.2,False,0.13035853035853037,0.13035853035853037,0.0%
106,15.0,RRRRRRRRRR,0.2,False,0.1338821178821179,0.1338821178821179,0.0%
107,15.0,RRRRRRRRRR,0.2,False,0.13397979797979798,0.13397979797979798,0.0%
108,15.0,RRRRRRRRRR,0.2,False,0.13646797646797648,0.13646797646797648,0.0%
109,15.0,RRRRRRRRRR,0.2,False,0.13453914506546083,0.13453914506546083,0.0%
110,15.0,RRRRRRRRRR,0.2,False,0.13128325269501742,0.13128325269501742,0.0%
111,15.0,RRRRRRRRRR,0.2,False,0.12771761571761567,0.12771761571761567,0.0%
112,15.0,RRRRRRRRRR,0.2,False,0.12363458763458761,0.12363458763458761,0.0%
