Population Size,Life Span,Max Generations,Maze Size
50,15,200,30

Current Generation,Best Rat's Starting Position,Best DNA,Best Fitness Score,Best Reached Goal,Average Fitness Score (No Winners),Average Fitness Score(Winner Inclusive),% Pop Reached Goal
1,15,LRRRRRRRRLRLLRR,0.125,False,0.07033405483405482,0.07033405483405482,0.0%
2,15,RLRRRRRRRRLLLRR,0.125,False,0.0697070707070707,0.0697070707070707,0.0%
3,15,LRRLRRRRLRRRRLR,0.125,False,0.07446861471861471,0.07446861471861471,0.0%
4,15,RLLRRRRRRRLRLRR,0.125,False,0.07780158730158733,0.07780158730158733,0.0%
5,15,RRRLLRRRRRLLRRR,0.125,False,0.0815400432900433,0.0815400432900433,0.0%
6,15,RRLRRRLRLRRRRRR,0.16666666666666666,False,0.08990079365079368,0.08990079365079368,0.0%
7,15,RLRRRRRLRRRRRLR,0.16666666666666666,False,0.09902380952380951,0.09902380952380951,0.0%
8,15,RRRLRRRRRRRRLRL,0.16666666666666666,False,0.09984523809523807,0.09984523809523807,0.0%
9,15,LRRRRRRRRRRRRLR,0.25,False,0.10928571428571426,0.10928571428571426,0.0%
10,15,LRRRRRRRRRRLRLR,0.16666666666666666,False,0.10702777777777776,0.10702777777777776,0.0%
11,15,RRRRRRRRRRRRLRR,0.5,False,0.12022619047619047,0.12022619047619047,0.0%
12,15,RRRRRRRRRRRRLRR,0.5,False,0.15359126984126986,0.15359126984126986,0.0%
13,15,RRRRRRRRRRRRLRR,0.5,False,0.19919047619047617,0.19919047619047617,0.0%
14,15,RRRRRRRRRRRRLRR,0.5,False,0.21716666666666667,0.21716666666666667,0.0%
15,15,RRRRRRRRRRRRRRR,2.0,True,0.25493197278911556,0.2898333333333333,2.0%
16,15,RRRRRRRRRRRRRRR,2.0,True,0.31076388888888884,0.3783333333333333,4.0%
17,15,RRRRRRRRRRRRRRR,2.0,True,0.34436936936936935,0.7748333333333334,26.0%
18,15,RRRRRRRRRRRRRRR,2.0,True,0.4045698924731183,1.0108333333333335,38.0%
19,15,RRRRRRRRRRRRRRR,2.0,True,0.409,1.2045000000000001,50.0%
20,15,RRRRRRRRRRRRRRR,2.0,True,0.4041666666666666,1.3616666666666666,60.0%
21,15,RRRRRRRRRRRRRRR,2.0,True,0.453125,1.505,68.0%
22,15,RRRRRRRRRRRRRRR,2.0,True,0.40217391304347816,1.265,54.0%
23,15,RRRRRRRRRRRRRRR,2.0,True,0.4090909090909091,1.3,56.00000000000001%
24,15,RRRRRRRRRRRRRRR,2.0,True,0.36458333333333337,1.0841666666666667,44.0%
25,15,RRRRRRRRRRRRRRR,2.0,True,0.3908730158730158,1.3241666666666665,57.99999999999999%
26,15,RRRRRRRRRRRRRRR,2.0,True,0.4537037037037038,1.4433333333333331,64.0%
27,15,RRRRRRRRRRRRRRR,2.0,True,0.375,1.285,56.00000000000001%
28,15,RRRRRRRRRRRRRRR,2.0,True,0.38333333333333336,1.353333333333333,60.0%
29,15,RRRRRRRRRRRRRRR,2.0,True,0.3777777777777777,1.5133333333333332,70.0%
30,15,RRRRRRRRRRRRRRR,2.0,True,0.4318181818181818,1.31,56.00000000000001%
